"","accession","n_seeds","total_area","mean_area","seed_area_sd","mean_convex_hull_area","total_perimeter","mean_perimeter","mean_seed_length","mean_seed_width","mean_seed_extent","mean_solidity","mean_equi_dia","mean_aspect_ratio","plant_id","seedlot","remainder_seed_weight_g","seed_5rac_wt_g","number_of_racemes","subsample","total_seed_weight_g","image_weights_g","seeds_per_g"
"1","2501",97,73755.5,760.365979381443,149.251439751988,779.876288659794,10157.9168593884,104.720792364828,34.6029313667533,28.3066256611618,0.726805619680709,0.973988932055742,30.9274257799375,0.820211738641207,"Ta06649","K1801_R8_C25_Ta04603_seed_lot",2.6387,0.1518,NA,NA,2.7905,0.1518,638.998682476943
"2","2502",97,78833,812.711340206186,116.578117475909,833.546391752577,10539.6296238899,108.65597550402,36.2000837227733,29.0208649389523,0.725768106603442,0.975060751416196,32.0854881277069,0.807779214805285,"Ta06646","K1801_R8_C25_Ta04603_seed_lot",0.5848,0.1691,NA,NA,0.7539,0.1691,573.625073920757
"3","2503",24,18458.5,769.104166666667,269.230424146737,789.875,2526.24088442326,105.260036850969,34.8306521574656,28.2174544731776,0.720166032129619,0.972182213965025,30.856600407131,0.810881544318882,"Ta06608","K1801_R7_C44_Ta04446_seed_lot",0.4295,0.0435,NA,NA,0.473,0.0435,551.724137931035
"4","2514",123,101335.5,823.865853658537,103.51872946023,845.491869918699,13476.2624275684,109.563109167223,36.2783287172395,29.4346315492459,0.726943078028141,0.973830167296429,32.3207145018396,0.815517164681143,"Ta06406","K1801_R2_C27_Ta04561_seed_lot",1.0455,0.2888,NA,0.2069,1.3343,0.2069,594.490091831803
"5","2516",35,27094,774.114285714286,97.9758437901229,794.742857142857,3720.79635751247,106.308467357499,35.2977971213204,28.3396204267229,0.724056648006887,0.973700245564285,31.3239305822174,0.804408941048099,"Ta06714","K1801_R9_C33_Ta04587_seed_lot",2.9392,0.0559,NA,NA,2.9951,0.0559,626.118067978533
"6","2517",69,43666.5,632.847826086957,182.319941480303,651.202898550725,6552.115452528,94.9581949641739,31.3900893391043,25.5481005544248,0.713990763113444,0.969541917654472,27.9454446626118,0.816994861324669,"Ta06501","K1801_R5_C20_Ta04476_seed_lot",0.2635,0.081,NA,NA,0.3445,0.081,851.851851851852
"7","2518",34,25841.5,760.044117647059,85.7086650659061,779.25,3560.18618440628,104.711358364891,34.4489093107336,28.5106571421904,0.73263427070885,0.975384954295721,31.0588153020102,0.830212740866715,"Ta06502","K1801_R5_C20_Ta04476_seed_lot",2.3366,0.0539,NA,NA,2.3905,0.0539,630.797773654916
"8","2519",59,46186,782.813559322034,98.9267361400329,801.508474576271,6262.59359371662,106.14565413079,34.8493052337129,29.0078681040618,0.73394231161492,0.976562596116194,31.5071711526746,0.834614635858986,"Ta06655","K1801_R8_C32_Ta04768_seed_lot",1.0768,0.1011,NA,NA,1.1779,0.1011,583.580613254204
"9","2521",65,36583,562.815384615385,279.461921171052,578.830769230769,5715.95189344883,87.9377214376743,29.2518415597769,23.6430735074557,0.706793077993418,0.965340077444365,25.7891819413025,0.800396768079,"Ta06669","K1801_R8_C44_Ta04396_seed_lot",2.0197,0.0663,NA,NA,2.086,0.0663,980.392156862745
"10","2525",33,19840.5,601.227272727273,224.617699203457,619.409090909091,3013.48561549187,91.317745923996,30.2822734659368,24.6354166377674,0.717197279613265,0.970480171125164,26.9219625412425,0.811310784587511,"Ta06344","K1801_R1_C11_Ta04641_seed_lot",0.1307,0.0343,NA,NA,0.165,0.0343,962.099125364432
"11","2536",21,16216.5,772.214285714286,87.3370728025292,791.833333333333,2222.13323891163,105.815868519601,34.8267750512986,28.7217177436465,0.731738364392479,0.975199440902284,31.3066665282953,0.827952659334478,"Ta06357","K1801_R1_C2_Ta04565_seed_lot",0.6479,0.036,NA,NA,0.6839,0.036,583.333333333333
"12","2541",158,73693.5,466.414556962025,193.811355134579,481.408227848101,12833.287684679,81.2233397764496,27.0220625189286,21.7013852566103,0.704688110396034,0.966967045974756,23.7688525597171,0.806998246244225,"Ta06387","K1801_R2_C2_Ta04891_seed_lot",5.0618,0.1457,NA,NA,5.2075,0.1457,1084.42004118051
"13","2546",22,17613,800.590909090909,95.9913979731959,819.227272727273,2364.19925391674,107.463602450761,35.4875891425393,29.0995305668224,0.727764210006626,0.977301398465334,31.8643096965616,0.823511476491287,"Ta06652","K1801_R8_C25_Ta04603_seed_lot",0.1126,0.0365,NA,NA,0.1491,0.0365,602.739726027397
"14","2547",56,17946.5,320.473214285714,273.141545384321,333.071428571429,3636.36280882359,64.935050157564,22.4164385454995,16.5788980977876,0.663947178456268,0.952386169339911,18.5404705511856,0.729740834546653,"Ta06600","K1801_R7_C44_Ta04446_seed_lot",2.5777,0.0276,NA,NA,2.6053,0.0276,2028.98550724638
"15","2548",95,69589,732.515789473684,74.2768846890077,752.605263157895,9840.41938138008,103.583361909264,34.7329681396484,27.3236493763171,0.721377187910042,0.973262322423982,30.4999247973709,0.789030215353161,"Ta06508","K1801_R5_C20_Ta04476_seed_lot",2.2151,0.1499,NA,NA,2.365,0.1499,633.755837224817
"16","2549",4,3140,785,102.709136237565,803.75,429.788884758949,107.447221189737,35.9472012519836,28.3644967079163,0.706804884415424,0.976536685622904,31.5615263860327,0.793394035230267,"Ta06493","K1801_R4_C46_Ta04526_seed_lot",2.2108,0.0061,NA,NA,2.2169,0.0061,655.737704918033
