"","accession","n_seeds","total_area","mean_area","seed_area_sd","mean_convex_hull_area","total_perimeter","mean_perimeter","mean_seed_length","mean_seed_width","mean_seed_extent","mean_solidity","mean_equi_dia","mean_aspect_ratio","plant_id","seedlot","remainder_seed_weight_g","seed_5rac_wt_g","number_of_racemes","subsample","total_seed_weight_g","image_weights_g","seeds_per_g"
"132","2555",38,27421,721.605263157895,215.608728383928,739.710526315789,3838.93849074841,101.024697124958,33.3583632519371,27.328547000885,0.729177558941774,0.973927663642647,29.8794289982691,0.816906876651096,"Ta06589","K1801_R7_C25_Ta04825_seed_lot",1.0482,0.048,NA,NA,1.0962,0.048,791.666666666667
"133","2556",114,29193.5,256.083333333333,199.533692196416,266.75,6760.4098225832,59.3018405489754,20.3176434332864,15.4161858224032,0.67153646164248,0.951698365537388,17.0315527294372,0.755009061913466,"Ta06683","K1801_R8_C45_Ta04629_seed_lot",5.3245,0.0454,NA,NA,5.3699,0.0454,2511.01321585903
"134","2557",116,65907,568.163793103448,187.375892559432,586.163793103448,10514.6102901697,90.6431921566355,30.3348575131647,23.8612022399902,0.704446749804781,0.965387216002122,26.4300326759691,0.789414600625374,"Ta06567","K1801_R6_C18_Ta04704_seed_lot",1.6912,0.1376,NA,NA,1.8288,0.1376,843.023255813953
"135","2562",220,184427,838.304545454545,109.486078334679,863.393181818182,24575.6149100065,111.70734050003,37.4062034780329,29.1994819554416,0.716207509702604,0.970984090346872,32.5989430931068,0.785556582459846,"Ta07636","Oa079AA087041_seed_lot",0,0.412,NA,NA,0.412,0.412,533.980582524272
"136","2565",124,106080,855.483870967742,81.2063500131287,875.822580645161,13763.1467591524,110.993119025423,36.456534401063,30.2215268688817,0.730042217542082,0.976773486609797,32.9664421380197,0.830754845067707,"Ta06606","K1801_R7_C44_Ta04446_seed_lot",1.6016,0.2349,NA,0.2282,1.8365,0.2282,543.382997370727
"137","2565",124,106080,855.483870967742,81.2063500131287,875.822580645161,13763.1467591524,110.993119025423,36.456534401063,30.2215268688817,0.730042217542082,0.976773486609797,32.9664421380197,0.830754845067707,"Ta06606","K1801_R7_C44_Ta04446_seed_lot",1.3739,0.2322,NA,NA,1.6061,0.2322,534.022394487511
"138","2566",84,61181,728.345238095238,92.9392850195364,747.571428571429,8639.92992734909,102.856308658918,34.0384133883885,27.6149804705665,0.720213131421543,0.974150985860709,30.3902577298159,0.813820728740488,"Ta06408","K1801_R2_C27_Ta04561_seed_lot",0.1594,0.1277,NA,NA,0.2871,0.1277,657.791699295223
"139","2567",123,84815,689.552845528455,108.23713744443,708.886178861789,12355.5891993046,100.451944709793,33.8361996441353,26.3635858287656,0.717656701986016,0.972255978364398,29.512085261297,0.782574557949757,"Ta06607","K1801_R7_C44_Ta04446_seed_lot",0.6704,0.1651,NA,NA,0.8355,0.1651,745.003028467595
"140","2568",138,129368.5,937.452898550725,145.531782061779,964.373188405797,16274.7358462811,117.932868451312,40.4822418931602,29.8828400528949,0.715036882410508,0.969859640854764,34.3983222637953,0.741114340571228,"Ta07638","Oa079AA087041_seed_lot",1.3179,0.303,NA,NA,1.6209,0.303,455.445544554455
"141","2569",97,25666.5,264.603092783505,144.977242074409,275.768041237113,5986.33666491508,61.714810978506,21.0005347654992,16.1416261024082,0.671344315682122,0.954052220886047,17.7645512371317,0.777265785135612,"Ta07458","Oa073AA086875_seed_lot",1.3003,0.0354,NA,NA,1.3357,0.0354,2740.11299435028
"142","2570",112,76779.5,685.53125,73.9551325281231,704.830357142857,11186.690582037,99.8811659110444,32.87193104199,26.9865974528449,0.724975620008,0.972605797699874,29.5016257770981,0.824035310696887,"Ta07971","Oa089AA087304_seed_lot",4.7235,0.1779,NA,NA,4.9014,0.1779,629.567172568859
"143","2571",112,84054,750.482142857143,136.455466262236,772,11757.5749236345,104.978347532451,35.5285157476153,27.2632301364626,0.71921298637222,0.972256424480483,30.804437455604,0.769214273889464,"Ta07977","Oa089AA087304_seed_lot",6.5946,0.355,NA,0.1797,6.9496,0.1797,623.260990539789
"144","2572",53,46327,874.094339622642,217.531541846495,901.622641509434,6048.08392441273,114.114791026655,39.2630005962444,28.6040653012833,0.711887223059352,0.969608778309072,33.0716998190677,0.74191468383688,NA,NA,0.4472,0.0897,NA,NA,0.5369,0.0897,590.858416945374
"145","2573",15,9188,612.533333333333,288.780222083623,634.266666666667,1405.02350699902,93.6682337999344,31.9863999684652,23.9252207438151,0.692942750029352,0.96585583696812,27.1310834083101,0.754740216853494,"Ta07197","Oa068AA086723_seed_lot",0.0794,0.0209,NA,NA,0.1003,0.0209,717.703349282297
"146","2574",154,99599.5,646.75,138.012304675453,666.422077922078,14926.5752536058,96.9258133351029,31.4766781670707,26.6423778657789,0.7274816323883,0.973148677194343,28.6010014590183,0.850750559844018,"Ta06682","K1801_R8_C44_Ta04396_seed_lot",0.8496,0.1882,NA,NA,1.0378,0.1882,818.278427205101
"147","2575",70,34792,497.028571428571,254.878841431618,515.421428571429,5883.06459236145,84.0437798908779,28.1972485678537,22.0858499663217,0.683773259768956,0.944671607256857,24.1377233059817,0.780372244006845,"Ta06670","K1801_R8_C44_Ta04396_seed_lot",0.9852,0.0644,NA,NA,1.0496,0.0644,1086.95652173913
"148","2576",183,59470.5,324.975409836066,218.999380792745,339.409836065574,12405.6266560555,67.7903095959314,23.3404026708968,17.3576351593101,0.671808063797857,0.951553209156638,19.3209203882182,0.74250168685216,"Ta06409","K1801_R2_C27_Ta04561_seed_lot",1.3288,0.0846,NA,NA,1.4134,0.0846,2163.12056737589
"149","2578",37,25647.5,693.175675675676,86.943245873403,711.783783783784,3719.03899765015,100.514567504058,33.4717302580137,26.8642950831233,0.723473611193864,0.973772359270214,29.6530387988962,0.806953863046855,"Ta06689","K1801_R8_C45_Ta04629_seed_lot",0.0024,0.0514,NA,NA,0.0538,0.0514,719.844357976654
"150","2579",92,46092,501,220.464718963585,518.103260869565,7806.58766329288,84.8542137314444,28.8507093450297,22.0078082395637,0.690269604387599,0.960501247988123,24.5559883291537,0.7689758368707,"Ta06599","K1801_R7_C44_Ta04446_seed_lot",2.3314,0.1439,NA,0.0892,2.4753,0.0892,1031.39013452915
"151","2591",35,26141,746.885714285714,258.504496653184,768.728571428571,3662.08568120003,104.631019462858,36.0291263035366,26.5171816689628,0.707497968605073,0.965977458125858,30.363001305093,0.734017029423728,"Ta06352","K1801_R1_C2_Ta04565_seed_lot",0.028,0.0577,NA,NA,0.0857,0.0577,606.585788561525
